placeid,latitude,longitude,the_geom_meter,name,address,city,state,country,fax,zip,alcohol,smoking_area,dress_code,accessibility,price,url,rambience,franchise,area,other_services,rcuisine
134986,18.928798,-99.239513,0101000020957F00002A0D05E2D96D5AC1AB058CB1EC564A41,Restaurant Las Mananitas,Ricardo Linares 107,Cuernavaca,Morelos,Mexico,?,,Wine-Beer,none,formal,no_accessibility,high,lasmananitas.com.mx,familiar,f,closed,none,International
134983,18.948657,-99.235361,0101000020957F0000DEF36F4FC76A5AC162B083D9A0544A41,Restaurant and Bar and Clothesline Carlos N Charlies,Domingo 10 711 El Empleado,Cuernavaca,Morelos,Mexico,?,62250,Full_Bar,section,informal,no_accessibility,high,carlosandcharlies.com,familiar,f,closed,none,Bar
134983,18.948657,-99.235361,0101000020957F0000DEF36F4FC76A5AC162B083D9A0544A41,Restaurant and Bar and Clothesline Carlos N Charlies,Domingo 10 711 El Empleado,Cuernavaca,Morelos,Mexico,?,62250,Full_Bar,section,informal,no_accessibility,high,carlosandcharlies.com,familiar,f,closed,none,Bar_Pub_Brewery
134976,18.916654,-99.227110,0101000020957F00002838E29F19705AC1BC368BDAC7534A41,Log Yin,?,?,?,?,?,,No_Alcohol_Served,none,informal,no_accessibility,low,?,familiar,f,closed,none,Mexican
134976,18.916654,-99.227110,0101000020957F00002838E29F19705AC1BC368BDAC7534A41,Log Yin,?,?,?,?,?,,No_Alcohol_Served,none,informal,no_accessibility,low,?,familiar,f,closed,none,Mediterranean
134976,18.916654,-99.227110,0101000020957F00002838E29F19705AC1BC368BDAC7534A41,Log Yin,?,?,?,?,?,,No_Alcohol_Served,none,informal,no_accessibility,low,?,familiar,f,closed,none,Burgers
132958,22.144979,-101.005683,0101000020957F000049095EB34A4858C15CB4BD1EE1AB4B41,tacos los volcanes,avenida hivno nacional,san luis potosi,san luis potos,mexico,?,,No_Alcohol_Served,none,informal,completely,low,?,quiet,t,closed,none,American
132955,22.147622,-101.010275,0101000020957F000068BE7C87C24758C1920A360A08AD4B41,emilianos,venustiano carranza,san luis potos,mexico,?,?,,Wine-Beer,none,informal,completely,low,?,familiar,t,closed,variety,Bar_Pub_Brewery
132954,22.160381,-100.988045,0101000020957F0000F78F04596C4658C1C151AA1AEFA54B41,la parroquia,venustiano carranza,san luis potosi,san luis potosi,?,?,,No_Alcohol_Served,not permitted,informal,partially,medium,?,familiar,t,closed,none,Breakfast-Brunch
132951,22.154474,-100.985809,0101000020957F0000BAC859A0634758C1C3E84FCAA5A54B41,VIPS,NICOLAS ZAPATA 300,San Luis Potosi,San Luis Potosi,Mexico,?,,No_Alcohol_Served,not permitted,casual,completely,low,?,familiar,f,closed,none,American
132937,22.150019,-100.979920,0101000020957F0000F9F19DDC3B4858C191B265A83BA44B41,rockabilly ,agustin de iturbide,san luis potosi,san luis potosi,mexico,?,,Full_Bar,section,informal,completely,low,?,quiet,f,closed,variety,Bar
132925,22.153500,-100.976243,0101000020957F00001EF62687CD4758C1BE336F4EFAA24B41,el pueblito,?,?,?,?,?,,Wine-Beer,not permitted,informal,completely,medium,?,familiar,f,closed,none,Mexican
132922,22.151135,-100.982312,0101000020957F000060A98A38FF4758C146718E41D9A44B41,cafe punta del cielo,?,?,?,?,?,,No_Alcohol_Served,permitted,formal,completely,medium,?,familiar,f,closed,none,Cafeteria
132921,22.150305,-100.989134,0101000020957F00006376BB64EF4758C1013687E5D7A64B41,crudalia,?,?,?,?,?,,Wine-Beer,section,casual,completely,low,?,quiet,f,open,none,Bar
132885,22.179517,-100.958436,0101000020957F0000B1DA6F2D504458C112A26CA45B9C4B41,Hamburguesas saul,Av. Saan Luis enttre moctezuma y salinas,San Luis Potosi,San Luis Potosi,mexico,?,78433,No_Alcohol_Served,none,informal,completely,low,?,familiar,f,closed,none,Cafeteria
132875,22.149901,-100.993779,0101000020957F00008A2A0747DE4758C11EB31D2A31A84B41,shi ro ie,?,?,?,?,?,,Wine-Beer,section,informal,no_accessibility,high,?,familiar,t,open,Internet,Japanese
132872,22.173596,-100.994603,0101000020957F0000942C3434384458C1C2D3499804A74B41,Pizzeria Julios,?,s.l.p,mexico,?,?,,No_Alcohol_Served,not permitted,informal,partially,medium,?,familiar,f,closed,none,American
132870,22.143078,-100.935479,0101000020957F0000550FC1FC854A58C16D7D4E35F8974B41,Tortas y hamburguesas el gordo,Ricardo B. Anaya,San Luis Potosi,San Luis Potosi,Mexico,?,,No_Alcohol_Served,not permitted,informal,no_accessibility,low,?,familiar,f,closed,none,Burgers
132869,22.141238,-100.923925,0101000020957F0000BC62C18D1F4B58C169E0A959C8944B41,Dominos Pizza,Ricardo B. Anaya,San Luis Potosi,San Luis Potosi,Mexico,?,,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,?,familiar,f,closed,none,Pizzeria
132866,22.141220,-100.931311,0101000020957F000013871838EC4A58C1B5DF74F8E3964B41,Chaires,Ricardo B. Anaya,San Luis Potosi,San Luis Potosi,Mexico,?,,No_Alcohol_Served,not permitted,informal,completely,medium,?,familiar,f,closed,none,Bakery
132866,22.141220,-100.931311,0101000020957F000013871838EC4A58C1B5DF74F8E3964B41,Chaires,Ricardo B. Anaya,San Luis Potosi,San Luis Potosi,Mexico,?,,No_Alcohol_Served,not permitted,informal,completely,medium,?,familiar,f,closed,none,Cafeteria
132862,22.150643,-100.987015,0101000020957F0000AF95272CF14758C165B2F91238A64B41,La Posada del Virrey,Av. V. Carranza,San Luis Potosi,San Luis Potosi,Mexico,?,,Wine-Beer,none,casual,completely,high,?,familiar,f,closed,none,International
132861,22.148097,-101.017302,0101000020957F000074BBAF047E4758C1424B73C701AF4B41,Carls Jr,Av. V. Carranza,San Luis Potosi,San Luis Potosi,Mexico,?,,No_Alcohol_Served,not permitted,informal,completely,medium,?,familiar,t,closed,none,Burgers
132858,22.131292,-100.937194,0101000020957F0000608CF6D8474C58C1DBF7C50028994B41,Hamburguesas Valle Dorado,Av. Coral,San Luis Potosi,San Luis Potosi,Mexico,?,,No_Alcohol_Served,none,informal,completely,low,?,familiar,f,closed,none,Burgers
132856,22.151378,-100.974634,0101000020957F0000C1B7D30B2C4858C1CE557111A5A24B41,Unicols Pizza,Plaza del Carmen,San Luis Potosi,San Luis Potosi,Mexico,?,,Wine-Beer,none,informal,completely,low,?,familiar,f,closed,none,Italian
132854,22.137863,-100.938327,0101000020957F0000FEC3FB453E4B58C19B4A463617994B41,Sirlone,carr. mexico,San Luis Potosi,San Luis Potosi,Mexico,?,,Wine-Beer,none,informal,completely,medium,?,familiar,f,closed,none,International
132851,22.136872,-100.934574,0101000020957F0000C74DE39C7F4B58C1061F291714984B41,KFC,?,San Luis Potosi,San Luis Potosi,Mexico,?,,No_Alcohol_Served,not permitted,informal,completely,low,?,familiar,f,closed,none,American
132851,22.136872,-100.934574,0101000020957F0000C74DE39C7F4B58C1061F291714984B41,KFC,?,San Luis Potosi,San Luis Potosi,Mexico,?,,No_Alcohol_Served,not permitted,informal,completely,low,?,familiar,f,closed,none,Game
132846,22.142273,-100.942654,0101000020957F000065D51EE7724A58C1B688A454109A4B41,el lechon potosino ,circuito oriente esq. carretera 57,san luis potosi ,slp,mexico,?,,No_Alcohol_Served,permitted,casual,no_accessibility,low,?,familiar,f,open,none,International
132845,22.126293,-100.900776,0101000020957F0000B230F8670C4E58C1D590A2700F8F4B41,Cenaduria El Rincón de Tlaquepaque,av. seminario,san luis potosi,san luis potosi,mexico,?,,No_Alcohol_Served,none,informal,no_accessibility,medium,?,familiar,f,closed,none,Mexican
132834,22.156469,-100.985540,0101000020957F00007768135A174758C155D318CB73A54B41,Gorditas Doa Gloria,sevilla y olmedo 715 a,san luis potosi,san luis potosi,mexico,?,78349,No_Alcohol_Served,not permitted,casual,no_accessibility,low,?,familiar,f,closed,none,Mexican
132825,22.147392,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,?,78280,No_Alcohol_Served,none,informal,completely,low,?,familiar,f,open,none,Mexican
132773,18.869993,-99.210320,0101000020957F0000B1F935F9FA775AC1D06DFD1017514A41,El cotorreo,Emiliano Zapata Col. Tres de Mayo,Cuernavaca,Morelos,?,?,,Wine-Beer,permitted,informal,no_accessibility,low,?,familiar,f,open,none,Family
132773,18.869993,-99.210320,0101000020957F0000B1F935F9FA775AC1D06DFD1017514A41,El cotorreo,Emiliano Zapata Col. Tres de Mayo,Cuernavaca,Morelos,?,?,,Wine-Beer,permitted,informal,no_accessibility,low,?,familiar,f,open,none,Mexican
132768,18.925773,-99.232636,0101000020957F000000DD3546816E5AC119D4BD17FD544A41,Mariscos Tia Licha,avenida salvador montiel ,cuernavaca,morelos,mexico,?,62320,No_Alcohol_Served,not permitted,casual,partially,medium,?,familiar,t,closed,none,Family
132767,18.882087,-99.163027,0101000020957F00001672C2C435775AC1F69BF2EF0D424A41,Restaurant Familiar El Chino,Paseo de las Fuentes,Jiutepec,Morelos,?,?,,Wine-Beer,permitted,casual,partially,medium,?,familiar,f,open,variety,Vietnamese
132766,18.910178,-99.231544,0101000020957F000043A319BA06715AC19443369877554A41,Mikasa,Himno nacional esq. Blvd. Juarez,Cuernavaca,Morelos,Mexico,?,,Wine-Beer,none,informal,no_accessibility,medium,?,familiar,f,closed,none,Japanese
132755,22.153324,-101.019546,0101000020957F000026CADE45A14658C1F011EBCA55AF4B41,La Estrella de Dimas,Av. de los Pintores,San Luis Potosi,S.L.P.,Mexico,?,,No_Alcohol_Served,none,informal,partially,medium,?,familiar,f,closed,variety,Mexican
132754,22.147738,-100.990616,0101000020957F00002493B678494858C1AD55D2316BA74B41,Cabana Huasteca,Cuauhtemoc 455,San Luis Potosi,S.L.P.,Mexico,?,,No_Alcohol_Served,none,informal,partially,medium,?,familiar,f,closed,none,Mexican
132740,23.752197,-99.166632,0101000020957F000027A30471EE8157C1AC17D61EC84E4941,Carreton de Flautas y Migadas,?,Ciudad Victoria,Tamaulipas,Mexico,?,,No_Alcohol_Served,permitted,informal,completely,low,?,familiar,f,open,none,Mexican
132733,23.752707,-99.162566,0101000020957F0000F2F4110CF28157C1DCFD7C1BA04D4941,Little Cesarz,?,Ciudad Victoria,Tamaulipas,Mexico,?,,No_Alcohol_Served,not permitted,informal,completely,medium,?,familiar,t,closed,none,Pizzeria
132732,23.754357,-99.171288,0101000020957F00008A20E615808157C16272FECBF84F4941,Taqueria EL amigo ,Calle Mezquite Fracc Framboyanes,Cd Victoria,Tamaulipas,Mexico,?,87018,No_Alcohol_Served,none,casual,completely,low,?,familiar,f,open,none,Mexican
132723,22.148934,-101.019845,0101000020957F0000B366C9254B4758C191987F9CAEAF4B41,Gordas de morales,?,?,San Luis Potosi,Mexico,?,,Full_Bar,section,informal,completely,medium,?,familiar,f,closed,none,Mexican
132717,23.731860,-99.150437,0101000020957F0000B21C3F6C5E8557C188ACCF0A444B4941,tortas hawai,?,?,?,?,?,,No_Alcohol_Served,not permitted,informal,partially,medium,?,familiar,f,closed,none,Fast_Food
132715,23.732423,-99.158660,0101000020957F00004609B96F198557C11973490A874D4941,tacos de la estacion,?,?,?,?,?,,No_Alcohol_Served,none,informal,no_accessibility,low,?,quiet,f,open,none,Mexican
132706,23.729216,-99.132357,0101000020957F00000F14BF6B2C8657C1963CCB8E5C464941,Gorditas Dona Tota,Zaragoza entre Francisco Zarco y Lopez Velarde,Cd. Victoria,Tamaulipas,Mexico,?,,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,?,familiar,t,closed,none,Mexican
132668,23.738212,-99.151955,0101000020957F000003B195E25F8457C1C535BD04614B4941,TACOS EL GUERO,?,victoria,tamaulipas,mexico,?,,No_Alcohol_Served,none,informal,completely,low,?,familiar,f,closed,none,Mexican
132667,23.752697,-99.163359,0101000020957F00005D67BCDDED8157C1222A2DC8D84D4941,little pizza Emilio Portes Gil,calle emilio portes gil,victoria ,tamaulipas,?,?,,No_Alcohol_Served,none,informal,completely,low,?,familiar,t,closed,none,Armenian
132665,23.736798,-99.134241,0101000020957F00007AED0830FC8457C122F85F7B84464941,TACOS CORRECAMINOS,?,victoria,tamaulipas,mexico,?,,No_Alcohol_Served,none,informal,completely,low,?,familiar,f,closed,none,Mexican
132663,23.752511,-99.166954,0101000020957F0000FDF8D26EE08157C1FEDB6A1FDB4E4941,tacos abi,?,victoria,tamaulipas,mexico,?,,No_Alcohol_Served,none,informal,completely,low,?,familiar,f,closed,none,Mexican
132630,23.752931,-99.164473,0101000020957F000047206572DE8157C1D3315028254E4941,palomo tec,blvrd emilio portes gil,victoria,tamaulipas,?,?,,No_Alcohol_Served,none,informal,completely,low,?,familiar,f,closed,none,Mexican
132626,23.737583,-99.135132,0101000020957F0000AA7883ADD88457C1FA651328BA464941,la perica hamburguesa,?,victoria,tamaulipas,?,?,,No_Alcohol_Served,none,informal,completely,medium,?,familiar,t,closed,none,Italian
132613,23.752904,-99.165076,0101000020957F00008EBA2D06DC8157C194E03B7B504E4941,carnitas_mata,lic. Emilio portes gil,victoria,Tamaulipas,Mexico,?,,No_Alcohol_Served,permitted,informal,completely,medium,?,familiar,t,closed,none,Mexican
132609,23.760268,-99.165865,0101000020957F0000A478418BBA8057C133851EB22C4E4941,Pollo_Frito_Buenos_Aires,tampico,victoria,Tamaulipas,Mexico,?,,No_Alcohol_Served,not permitted,informal,completely,low,?,quiet,t,closed,none,Fast_Food
132608,23.758805,-99.165130,0101000020957F0000A15C8F5FF78057C1C93CEA9E0A4E4941,Hamburguesas La perica,cd. mier,victoria,Tamaulipas,Mexico,?,,No_Alcohol_Served,permitted,informal,completely,low,?,quiet,t,open,none,Mexican
132594,23.752168,-99.165709,0101000020957F00003AE4C6DBF48157C1CE38ECC1864E4941,tacos de barbacoa enfrente del Tec,?,?,?,?,?,,No_Alcohol_Served,not permitted,informal,completely,low,?,familiar,f,open,none,Mexican
132584,23.752365,-99.165288,0101000020957F000048C65BA7EF8157C177F2344D664E4941,Gorditas Dona Tota,?,?,?,?,?,,No_Alcohol_Served,not permitted,informal,completely,medium,?,familiar,t,closed,none,Mexican
132583,18.922290,-99.234332,0101000020957F0000FBE7171F056F5AC1E8A6C0A5AF554A41,McDonalds Centro,Rayon sn col. Centro,Cuernavaca,Morelos,Mexico,?,62000,No_Alcohol_Served,not permitted,informal,partially,low,no,familiar,t,closed,none,American
132572,22.141647,-100.992712,0101000020957F00005D19BF45294958C18FF7F8E260A84B41,Cafe Chaires,?,San Luis Potosi,San Luis Potosi,Mexico,?,,No_Alcohol_Served,not permitted,informal,completely,low,?,familiar,f,closed,none,Cafeteria
132560,23.752304,-99.166913,0101000020957F0000FC60BDA8E88157C1B2C357D6DA4E4941,puesto de gorditas,frente al tecnologico,victoria,tamaulipas,mexico,?,,No_Alcohol_Served,permitted,informal,no_accessibility,low,?,familiar,f,open,none,Regional
